language_name_in_Kikuyu,language_name_in_Cambodian,language_name_in_Sarnami,language_name_in_Khoekhoegowab,language_name_in_Haitian,language_name_in_Tojolabal,language_name_in_Croatian,language_name_in_Herero,language_name_in_Serbian,language_name_in_Waray-Waray,language_name_in_Kikaonde,language_name_in_Kongo,language_name_in_Lhukonzo,language_name_in_Ukrainian,language_name_in_Kabyle,language_name_in_Aymara,language_name_in_Toba,language_id,language_name_in_Huastec,language_name_in_Hindi,language_name_in_Nzema,language_name_in_Ndonga,language_in_English,language_name_in_Kwanyama,language_name_in_Punjabi,language_name_in_Faeroese,language_name_in_Georgian,language_name_in_Greenlandic,language_name_in_Miskito,language_name_in_Hungarian,language_name_in_Efik,language_name_in_Rapa,language_name_in_Bicol,language_name_in_Afrikaans,language_name_in_Armenian,language_name_in_Wolaita,language_name_in_Huave,language_name_in_Kikamba,language_name_in_Hausa,language_name_in_Amharic,language_name_in_Norwegian,language_name_in_Kisonge,language_name_in_Nahuatl,language_name_in_Nepali,language_name_in_Solomon,language_name_in_Kirghiz,language_name_in_Ndebele,language_name_in_Rarotongan,language_name_in_Korean,language_name_in_Zapotec,language_name_in_Baoule,language_name_in_Dutch,language_name_in_Aukan,language_name_in_Tlapanec,language_name_in_Pangasinan,language_name_in_Russian,language_name_in_Ewe,language_name_in_Mauritian,language_name_in_Uruund,language_name_in_Voru,language_name_in_Spanish,language_name_in_Greek,language_name_in_Lingala,language_name_in_Estonian,language_name_in_Vezo,language_name_in_Rumanyo,language_name_in_Luganda,language_name_in_Lithuanian,language_name_in_Mayo,language_name_in_Lamba,language_name_in_Yoruba,language_name_in_Sepedi,language_name_in_Kinyarwanda,language_name_in_Dangme,language_name_in_Tarascan,language_name_in_Rutoro,language_name_in_Wayuunaiki,language_name_in_Mixtec,language_name_in_Cebuano,language_name_in_Sango,language_name_in_Quechua,language_name_in_Tiv,language_name_in_Guna,language_name_in_Maya,language_name_in_Sranantongo,language_name_in_Acholi,language_name_in_Xhosa,language_name_in_Tetum,language_name_in_Krio,language_name_in_Isoko,language_name_in_Oromo,language_name_in_Saramaccan,language_name_in_Quichua,language_name_in_Azerbaijani,language_name_in_Chin,language_name_in_Romanian,language_name_in_Bulgarian,language_name_in_Quiche,language_name_in_Kalenjin,language_name_in_Lahu,language_name_in_Mbunda,language_name_in_Swati,language_name_in_Tsonga,language_name_in_Kisi,language_name_in_Cinyanja,language_name_in_Shona,language_name_in_Newari,language_name_in_Slovenian,language_name_in_Zande,language_name_in_Tamil,language_name_in_Mambwe-Lungu,language_name_in_Icelandic,language_name_in_Runyankore,language_name_in_Guarani,language_name_in_Mongolian,language_name_in_Kiluba,language_name_in_Tagalog,language_name_in_Ngabere,language_name_in_Kwangali,language_name_in_Italian,language_name_in_Iloko,language_name_in_Portuguese,language_name_in_Hiligaynon,language_name_in_Tzotzil,language_name_in_Myanmar,language_name_in_Ateso,language_name_in_Finnish,language_name_in_Welsh,language_name_in_Zulu,language_name_in_Chol,language_name_in_Sesotho,language_name_in_Otomi,language_name_in_Mazatec,language_name_in_Tajiki,language_name_in_Kekchi,language_name_in_Mam,language_name_in_Lenje,language_name_in_Kalanga,language_name_in_Somali,language_name_in_Tarahumara,language_name_in_Vietnamese,language_name_in_Gujarati,language_name_in_Marathi,language_name_in_French,language_name_in_Sinhala,language_name_in_Frafra,language_name_in_Indonesian,language_name_in_Luvale,language_name_in_Tongan,language_name_in_Danish,language_name_in_Japanese,language_name_in_Niuean,language_name_in_Polish,language_name_in_Tankarana,language_name_in_Czech,language_name_in_Chinese,language_name_in_Garifuna,language_name_in_Maltese,language_name_in_Venda,language_name_in_Nuer,language_name_in_Sidama,language_name_in_Mayangna,language_name_in_Thai,language_name_in_Swahili,language_name_in_Luo,language_name_in_English,language_name_in_Latvian,language_name_in_Kazakh,language_name_in_Irish,language_name_in_Macedonian,language_name_in_Mixe,language_name_in_Tahitian,language_name_in_Samoan,language_name_in_Lugbara,language_name_in_Tatar,language_name_in_Albanian,language_name_in_Turkish,language_name_in_Totonac,language_name_in_Tswana,language_name_in_Slovak,language_name_in_Swedish,language_name_in_Ga,language_name_in_Kurdish,language_name_in_Twi,language_name_in_Tokelauan,language_name_in_Malagasy,language_name_in_Papiamento,language_name_in_Romany,language_name_in_Tzeltal,language_name_in_Cakchiquel,language_name_in_Wichi,language_name_in_German,language_name_in_Igbo,language_name_in_Ossetian,language_name_in_Mapudungun,language_name_in_Tigrinya,language_name_in_Seychelles
Kĩgujarati,Gujarati,Gujarati,Gujarati,Goujarati,gujarati,gudžaratski,Gujarati,gudžarati,Gujarati,Gujarati,Gujarati,Gujarati,гуджараті,Gujarati,Gujarati,guaraní,gu,gujarati,गुजराती,Gujarati,Gujarati,Gujarati,Gujarati,ਗੁਜਰਾਤੀ,Gujarati,გუჯარათული,Gujarati,gujarati,gudzsaráti,Gujarati,gujarati,Gujarati,Goedjarati,Գուջարաթի,Gujirati,gujarati,Kĩngungyalati,Gujarati,ጉጃራቲ,Gujarati,Gujarati,gujarati,गुजराती,Gujarati,гужарати,Gujarati,Gujarati,구자라트어,gujarati,Gujarati,Gujarati,Guyaratitongo,Gujarati,Gujarati,гуджарати,Gujarati,Gujarati,rudim,gudžarati,gujarati,Γκουτζαράτι,Gujarati,gudžarati,Goujarati,Gujarati,Gujarati,gudžaratų,gujarati,Gujarati,Gujarati,Segujarati,Ikigujarati,Gujarati,gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,gujarati,gujarati,Guyaratitongo,Gujarati,IsiGujarati,Gujarati,Gujarati,Gujarati,Gujaaraatii,Guyaratitongo,gujarati,гуҹарат,Gujarati,Gujarati,гуджарати,gujarati,Gujarati,Gujarati,Gujarati,SiGujarati,Gujarati,Gujarati,Cigujarati,Gujarati,गुजराती,gudžaratščina,Gujarati,குஜராத்தி,Gujarati,gújaratí,Gujarati,gujarati,гүжарати,Kigujarati,Gujarati,gujarati,Rugujarati,gujarati,Gujarati,Guzerate,Gujarati,gujarati,ဂူဂျရာတီ,Gujarati,gudžarati,Gwjarati,IsiGujarati,Gujarati,Segujarati,Gujarati,gujarati,гуҷарати,gujarati,gujarati,Cigujarati,Gujarati,Gujarati,gujarati,Gujarat,ગુજરાતી,गुजराती,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,Gujarati,グジャラティー語,Gujarati,gudżaracki,Goujrati,gudžarátština,古吉拉特語,Gujarati,Gujarati,Gujarati,Thok,Gujaraati,gujarati,คุชาราตี,Kigujarati,Gujarati,Gujarati,Gudžaratu,гуджарати,Gúisearáitis,гуџаратски,gujarati,Gujarati,Gujarati,Gujarati,гуджарати,gujarate,Gucerat,gujarati,Gujarati,gudžarátčina,Gujarati,Gujarat,Gûjaratyî,Gujarati,Gujarati,Goujrati,Gujarati,Gudžaratsko,gujarati,gujarati,gujarati,Gujarati,Gujarati,гуджарати,gujarati,ጉጃራቲ,Gujarati
Gĩkorea,កូរ៉េ,Koreaans,Korean,Koreyen,coreano,korejski,Korean,korejski,Korean,Korean,Korean,Korean,корейська,Korean,Coreano,coreano,ko,coreano,कोरियन,Korean,Korean,Korean,Korean,ਕੋਰੀਆਈ,Koreiskt,კორეული,Koreamiutut,coreano,koreai,Usem,coreano,Koreano,Koreaans,Կորեերեն,Koorettuwaa,coreano,Kĩkolea,Korean,ኮርያኛ,Koreansk,Coréen,coreano,कोरियन,Korean,корей,Korean,Reo,한국어,coreano,Coréen,Koreaans,Koreatongo,Coreano,Korean,корейский,Korean,Korean,rudim,korea,coreano,Κορεατική,Coréen,korea,Koreanina,Korean,Korean,korėjiečių,coreano,Korean,Korean,Sekorea,Igikoreya,Korean,coreano,Korean,Coreano,Coreano,Korean,Coréen,Coreano,Korean,coreano,coreano,Koreatongo,Korean,IsiKorea,Koreanu,Korean,Korean,Afaan,Koreatongo,coreano,кореја,Korea,Coreeană,корейски,coreano,Korean,Koˇriˇ-aˇ,Korean,SiKorea,Korean,Korean,Cikorean,Korean,कोरियन,korejščina,Korean,கொரியன்,Korean,kóreska,Korean,coreano,солонгос,Kikore,Korean,coreano,Rukoreya,coreano,Korean,Coreano,Korean,coreano,ကိုရီးယား,Korean,korea,Corëeg,IsiKorea,Coreano,Sekorea,Coreano,coreano,кореягӣ,coreano,coreano,Cikorean,Korean,Korean,coreano,Hàn,કોરિયન,कोरियन,Coréen,Korean,Korean,Korea,Korean,Korean,Koreansk,韓国・朝鮮語,Faka-Korea,koreański,Koreanina,korejština,韓語,Coreano,Korean,Korean,Thok,Kooriyu,coreano,เกาหลี,Kikorea,Korean,Korean,Korejiešu,корей,Cóiréis,корејски,coreano,Korea,Korea,Korean,корей,koreane,Kore,coreano,Korean,kórejčina,Koreanska,Korea,Koreyî,Korean,Faka-Kolea,Koreanina,Koreano,Korejsko,coreano,coreano,coreano,Koreanisch,Korean,корейаг,coreano,ኮርያኛ,Korean
Gĩcreole,ម៉ូរីទូស,Creools,Mauritian,Kreyòl,criollo,mauricijski,Mauritian,mauricijski,Mauritian,Mauritian,Mauritian,Mauritian,маврикійська,Mauritian,Criollo,criollo,mfe,criollo,मॉरिशन,Mauritian,Mauritian,Mauritian,Mauritian,ਮੋਰੀਸ਼ੀਅਨ,Móritiskt,მავრიტანიული,Mauritiusimi,criollo,mauritiusi,Mauritian,criollo,Mauritian,Mauritiaanse,Կրեոլ,Morttaaniyaa,criollo,Kĩmaulisia,Mauritian,ሞሪታንያኛ,Mauritisk,Créole,criollo,मरुसियन,Mauritian,креол,Mauritian,Mauritian,모리셔스,criollo,Créole,Creools,Mauritius,Criollo,Mauritian,маврикийский,Mauritian,Mauritian,rudim,mauritiuse,criollo,Κρεολή,Créole,mauritiuse,Kreôla,Mauritian,Mauritian,Mauricijaus,criollo,Mauritian,Mauritian,se-Creole,Igikerewole,Mauritian,criollo,Mauritian,Criollo,Criollo,Mauritian,Créole,Criollo,Mauritian,criollo,criollo,Mauritius,Mauritian,IsiCreole,Mauritian,Mauritian,Mauritian,Afaan,Mauritius,criollo,Маврики,Mauritius,Creolă,маврициански,criollo,Mauritian,Mauritian,Mauritian,SiMauritian,Mauritian,Mauritian,Cikiriole,Mauritian,मरुसियन,mavricijska,Mauritian,மொரிஷியன்,Mauritian,máritíus-kreólska,Mauritian,criollo,mauritian,Kikreole,Mauritian,criollo,Rumauritia,creolo,Mauritian,Crioulo,Mauritian,criollo,မော်ရစ်တရှန်,Mauritian,mauritiuksenkreoli,Creoliaith,IsiCreole,Criollo,Secreole,Criollo,criollo,креолии,criollo,criollo,Cicreole,Mauritian,Mauritian,criollo,Mauritius,મોરીશિયન,मॉरिशियन,Créole,Mauritian,Mauritian,Kreol,Mauritian,Mauritian,Mauritiansk,モーリシャス･クレオール語,Mauritian,kreolski,Kreoly,mauricijština,毛里求斯克里奧爾語,Criollo,Kreol,Mauritian,Thok,Mooritiyani,criollo,ครีโอลมอริเชียส,Kikreoli,Mauritian,Mauritian,Maurīcijas,маврики,Criól,маврициски,criollo,Créole,Mauritian,Mauritian,Маврикия,kreole,Mauritius,criollo,Mauritian,maurícijská,Mauritisk,Mauritia,Maûrîtiya,Mauritian,Mauritian,Kreôla,Kreol,Mavricisko,criollo,criollo,criollo,Morisyen,Mauritian,маврикиаг,criollo,ክረዮል,Mauritian
Gĩkongo,Kongo,Congo,Kongo,Kongo,congo,kongo,Kongo,kongo,Kongo,Kongo,Kongo,Kongo,конго,Kongo,Congo,congo,kg,congo,कोंगो,Kongo,Kongo,Kongo,Kongo,ਕਾਂਗੋ,Kongo,კონგო,Kongo,congo,kongo,Kongo,congo,Kongo,Kongo,Կոնգո,Kongo,congo,Kĩkongo,Kongo,ኮንጎ,Kongo,Kongo,congo,कोंगो,Kongo,конго,Kongo,Kongo,콩고어,congo,Kongo,Congo,Kongotongo,Congo,Kongo,конго,Kongo,Kongo,rudim,kongo,congo,Κόνγκο,Kongo,kongo,Kongo,Kongo,Kongo,kongų,congo,Kongo,Kongo,Sekongo,Urukongo,Kongo,congo,Kongo,Congo,Congo,Kongo,Kongo,Congo,Kongo,congo,congo,Kongotongo,Kongo,IsiKongo,Kongo,Kongo,Kongo,Kongoo,Kongotongo,congo,Конго,Kongo,Kongo,конгоански,congo,Kongo,Kongo,Kongo,SiKongo,Kongo,Kongo,Cikongo,Kongo,कोंगो,kongščina,Kongo,கோங்கோ,Kongo,kongó,Kongo,congo,конго,Kongo,Kongo,congo,Rukongo,kongo,Kongo,Congo,Kongo,congo,ကွန်ဂို,Kongo,kongo,Congo,IsiKongo,Congo,Sekongo,Congo,congo,конго,congo,congo,Cikongo,Kongo,Kongo,congo,Kongo,કોંગો,काँगो,Kongo,Kongo,Kongo,Kongo,Kongo,Kongo,Kongo,コンゴ語,Kongo,kongo,Kongo,konžština,剛果語,Congo,Kongo,Kongo,Thok,Kongo,congo,คองโก,Kikongo,Kongo,Kongo,Kongu,конго,Kongo,конгоански,congo,Kongo,Kongo,Kongo,конго,kongoleze,Kongo,congo,Kongo,kongo,Kongo,Kongo,Kongo,Kongo,Kongo,Kongo,Kongo,Kongoansko,congo,congo,congo,Kongo,Kongo,конго,congo,ኮንጎ,Kongo
Sepedi,សេផេឌី,Pedi,Sepedi,Sepedi,sena,sepedi,Sepedi,sepedi,Sepedi,Sepedi,Sepedi,Sepedi,педі,Sepedi,Sepedi,sena,nso,sena,सेपेदी,Sepedi,Sepedi,Sepedi,Sepedi,ਸੇਪੇਦੀ,Sepedi,სეპედი,Sepedi,sena,pedi,Sepedi,sena,Sepedi,Sepedi,Սեպեդի,Sepedi,sena,Kĩseveti,Sepedi,ሴፔዲ,Sepedi,Sepedi,sena,सेपेडी,Sepedi,сепеди,ISepedi,Sepedi,세페디어,sena,Sepedi,Pedi,Sepeditongo,Sepedi,Sepedi,сепеди,Sepedi,Sepedi,rudim,pedi,sena,Σεπέντι,Sepedi,pedi,Sepedi,Sepedi,Sepedi,sepedi,sena,Sepedi,Sepedi,Sepedi,Igisepedi,Sepedi,sena,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,sena,sena,Sepeditongo,Sepedi,ISepedi,Sepedi,Sepedi,Sepedi,Seepeedii,Sepeditongo,sena,сепеди,Sepedi,Sepedi,сепеди,sena,Sepedi,Sepedi,Sepedi,Sipedi,Sepedi,Sepedi,Cisepedi,Sepedi,सेपेडी,sepedejščina,Sepedi,செபேடி,Sepedi,sepedí,Sepedi,sena,sepedi,Kisepedi,Sepedi,sena,Rupedi,sepedi,Sepedi,Sepedi,Sepedi,sena,စီပီဒိုင်,Sepedi,sepedi,Sepedi,IsiPedi,Sepedi,Sepedi,Sepedi,sena,сепеди,sena,sena,Cisepedi,Sepedi,Sepedi,sepedi,Sepedi,સેપેડી,सेपेदी,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,ペディ語,Sepedi,pedi,Sepedi,pedi,北索托語,Sepedi,Sepedi,Sepedi,Thok,Sepiidi,sena,เซเปดี,Kisepedi,Sepedi,Sepedi,Sepedi,сепеди,Sepedi,сепеди,sena,Sepedi,Sepedi,Sepedi,сепеди,sepede,Sepedi,sepedi,Sepedi,sepedi,Sepedi,Sepedi,Sepedî,Sepedi,Sepedi,Sepedi,Sepedi,Sepedi,sepedi,sena,sena,Pedi,Sepedi,сепеди,sena,ሰፐዲ,Sepedi
Gĩtokelauan,Tokelauan,Tokelauaans,Tokelauan,Tokelawou,toquelao,tokelauanski,Tokelauan,tokeluanski,Tokelauan,Tokelauan,Tokelauan,Tokelauan,токелау,Tokelauan,Toquelao,toquelao,tkl,toquelao,तोकेलाउन,Tokelauan,Tokelauan,Tokelauan,Tokelauan,ਟੋਕਲਾਊਅਨ,Tokelauan,ტოკელაუანი,Tokelaumiutut,toquelao,tokelau,Tokelauan,toquelao,Tokelauan,Tokelauaans,Տոկելաու,Tokelauan,toquelao,Kĩtokelaua,Tokelauan,ቶከላዋን,Tokelauisk,Tokelau,toquelao,तोकलाउन,Tokelauan,токелау,Tokelauan,Reo,토켈라우어,toquelao,Tokelau,Tokelauaans,Tokelawantongo,Toquelao,Tokelauan,токелау,Tokelauan,Tokelauan,rudim,tokelau,toquelao,Τοκελαουάν,Tokelau,tokelau,Tokelauan,Tokelauan,Tokelauan,tokelaujiečių,toquelao,Tokelauan,Tokelauan,Setokelau,Igitokelawo,Tokelauan,toquelao,Tokelauan,Toquelao,Toquelao,Tokelauan,Tokelau,Toquelao,Tokelauan,toquelao,toquelao,Tokelawantongo,Tokelauan,IsiTokelauan,Tokelauan,Tokelauan,Tokelauan,Tookeela’uwaan,Tokelawantongo,toquelao,Токелау,Tokelauan,Tokelauană,токелански,toquelao,Tokelauan,Tokelauan,Tokelauan,SiTokelauan,Tokelauan,Tokelauan,Citokelauani,Tokelauan,तोकलाउन,tokelauanščina,Tokelauan,டோகலாவுன்,Tokelauan,tokeláeyska,Tokelauan,toquelao,tokelauan,Kitokelau,Tokelauan,toquelao,Rutokelauan,tokelauano,Tokelauan,Toquelauano,Tokelauan,toquelao,တိုကီလွမ်,Tokelauan,tokelau,Tocelaweg,IsiTokelau,Toquelao,Setokelauan,Toquelao,toquelao,токелау,toquelao,toquelao,Citokelau,Tokelauan,Tokelauan,toquelao,Tokelauan,ટૌકાલાઉન,टोकेलाऊ,Tokelau,Tokelauan,Tokelauan,Tokelauan,Tokelauan,Tokelauan,Tokelauansk,トケラウ語,Faka-Tokelau,tokelauański,Tokelauan,tokelauština,托克勞語,Toquelao,Tokelauan,Tokelauan,Thok,Tokilawoni,toquelao,โตเกเลา,Kitokelau,Tokelauan,Tokelauan,Tokelaviešu,токелау,Tokelauan,токелауски,toquelao,Tokelau,Tokelauan,Tokelauan,токелау,tokelauane,Tokelau,toquelao,Tokelauan,tokelaučina,Tokelaua,Tokelau,Tokelaû,Tokelauan,Faka-Tokelau,Tokelauan,Tokelauan,Tokelausko,toquelao,toquelao,toquelao,Tokelauanisch,Tokelauan,токелау,toquelao,ቶከላዋን,Tokelauan
Kĩarmenia,អាមេនី,Armeens,Armenian,Amenyen,armenio,armenski,Armenian,jermenski,Armenian,Armenian,Armenian,Argentinean,вірменська,Armenian,Armenio,armenio,hy_armn,armenio,आर्मीनियन,Armenian,Armenian,Armenian,Armenian,ਆਰਮੀਨੀ,Armenskt,სომხური,Armeniamiutut,armenio,örmény,Usem,armenio,Armenian,Armeens,Հայերեն,Armeenettuwaa,armenio,Kĩamenia,Armenian,አርመንኛ,Armensk,Arménien,armenio,आर्मेनियन,Armenian,армян,Armenian,Reo,아르메니아어,armenio,Arménien,Armeens,Armeiniatongo,Armenio,Armenian,армянский,Armenian,Armenian,rudim,armeenia,armenio,Αρμενική,Arménien,armeenia,Armenianina,Armenian,Armenian,armėnų,armenio,Armenian,Armenian,Searmenia,Ikinyarumeniya,Armenian,armenio,Armenian,Armenio,Armenio,Armenian,Arménien,Armenio,Armenian,armenio,armenio,Armeiniatongo,Armenian,IsiArmenia,Armenu,Armenian,Armenian,Armeeniyaan,Armeiniatongo,armenio,ермәни,Armenia,Armeană,арменски,armenio,Armenian,Armenian,Armenian,Si-Armenian,Armenian,Armenian,Ciarmeniya,Armenian,आर्मेनियन,armenščina,Armenian,ஆர்மீனியன்,Armenian,armeníska,Armenian,armenio,армен,Kialameni,Armenian,armenio,Ruarmenia,armeno,Armenian,Armênio,Armenian,armenio,အာမေးနီးယား,Armenian,armenia,Armeneg,Isi-Armenia,Armenio,Searmenia,Armenio,armenio,арманӣ,armenio,armenio,Ciarmenia,Armenian,Armenian,armenio,Armenia,આર્મેનિયન,अर्मेनियन,Arménien,Armenian,Armenian,Armenia,Armenian,Armenian,Armensk,アルメニア語,Armenian,ormiański,Armenianina,arménština,亞美尼亞語,Armenio,Armen,Armenian,Thok,Armeeniyu,armenio,อาร์เมเนีย,Kiarmenia,Armenian,Armenian,Armēņu,армян,Airméinis,ерменски,armenio,Aramenia,Armenian,Armenian,әрмән,armenisht,Ermenice,armenio,Armenian,arménčina,Armeniska,Armenia,Ermenî,Armenian,Faka-Aminia,Armenianina,Armenio,Ermensko,armenio,armenio,armenio,Armenisch,Armenian,сомихаг,armenio,ኣርመንኛ,Armenian
Kĩgeorgia,ហ្សកហ្ស៊ី,Georgisch,Georgian,Jòjyen,georgiano,gruzijski,Georgian,gruzijski,Georgian,Georgian,Georgian,Georgian,грузинська,Georgian,Georgiano,georgiano,ka,georgiano,जॉर्जियन,Georgian,Georgian,Georgian,Georgian,ਜਾਰਜੀਅਨ,Georgiskt,ქართული,Georgiamiutut,georgiano,grúz,Usem,georgiano,Georgian,Georgies,Վրացերեն,Jorjjiyaa,georgiano,Kĩngyiongyia,Georgian,ጆርጂያኛ,Georgisk,Géorgien,georgiano,जर्जियन,Georgian,грузин,Georgian,Georgian,조지아어,georgiano,Géorgien,Georgisch,Georgiatongo,Georgiano,Georgian,грузинский,Georgian,Georgian,rudim,gruusia,georgiano,Γεωργιανή,Géorgien,gruusia,Georgien,Georgian,Georgian,gruzinų,georgiano,Georgian,Georgian,Segeorgia,Ikinyajeworujiya,Georgian,georgiano,Georgian,Georgiano,Georgiano,Georgian,Géorgien,Georgiano,Georgian,georgiano,georgiano,Georgiatongo,Georgian,IsiGeorgia,Jeorjianu,Georgian,Georgian,Afaan,Georgiatongo,georgiano,ҝүрҹү,Georgia,Georgiană,грузински,georgiano,Georgian,Georgian,Georgian,SiGeorgia,Georgian,Georgian,Cigeorgiya,Georgian,जर्जियन,gruzinščina,Georgian,ஜார்ஜியன்,Georgian,georgíska,Georgian,georgiano,гүрж,Kijeorji,Georgian,georgiano,Rugeorgia,georgiano,Georgian,Georgiano,Georgian,georgiano,ဂျော်ဂျီယာ,Georgian,georgia,Georgeg,IsiGeorgia,Georgiano,Segeorgia,Georgiano,georgiano,гурҷӣ,georgiano,georgiano,Cigeorgian,Georgian,Georgian,georgiano,Georgia,જ્યોર્જિયન,जॉर्जियन,Géorgien,Georgian,Georgian,Georgia,Georgian,Georgian,Georgisk,グルジア語,Georgian,gruziński,Géorgien,gruzínština,格魯吉亞語,Georgiano,Ġeorġjan,Georgian,Thok,Joorjiyu,georgiano,จอร์เจีย,Kigeorgia,Georgian,Georgian,Gruzīnu,грузин,Seoirsis,грузиски,georgiano,Géorgien,Georgia,Georgian,грузин,gjeorgjisht,Gürcüce,georgiano,Georgian,gruzínčina,Georgiska,Georgia,Gurcikî,Georgian,Georgian,Géorgien,Georgiano,Gruzisko,georgiano,georgiano,georgiano,Georgisch,Georgian,гуырдзиаг,georgiano,ጆርጅያንኛ,Georgian
Kĩmixtec,Mixtec,Mixteeks,Mixtec,Mikstèk,mixteco,mištek,Mixtec,mikstečki,Mixtec,Mixtec,Mixtec,Mixtec,міштек,Mixtec,Mixteco,mixteco,jw_mxo,mixteco,मीसटेक,Mixtec,Mixtec,Mixtec,Mixtec,ਮੀਸਟੈਕ,Mixtec,მიხტეკი,Mixteki,mixteco,misték,Mixtec,mixteco,Mixtec,Mixteeks,Միքտեք,Mikisitek,mixteco,Kĩmiisiteki,Mixtec,ሚስቴክ,Mixtek,Mixtec,mixteco,मिक्सटेक,Mixtec,миштек,Mixtec,Mixtec,믹스텍어,mixteco,Mixtec,Mixteeks,Mikstektongo,Mixteco,Mixtec,миштекский,Mixtec,Mixtec,rudim,misteegi,mixteco,Μιστεκική,Mixtec,misteegi,Mixtèque,Mixtec,Mixtec,mištekų,mixteco,Mixtec,Mixtec,Semixtec,Ikimigisiteki,Mixtec,mixteco,Mixtec,Mixteco,Mixteco,Mixtec,Mixtec,Mixteco,Mixtec,mixteco,mixteco,Mikstektongo,Mixtec,IsiMixtec,Mixtec,Mixtec,Mixtec,Miiksiteek,Mikstektongo,mixteco,миштек,Mixtec,Mixtec,микстек,mixteco,Mixtec,Mixtec,Mixtec,SiMixtec,Mixtec,Mixtec,Cimixtec,Mixtec,मिक्सटेक,misteščina,Mixtec,மிக்ஸ்டெக்,Mixtec,mixtekíska,Mixtec,mixteco,mixtec,Kimikstek,Mixtec,mixteco,Rumixtec,mixteco,Mixtec,Misteca,Mixtec,mixteco,မိဇ်တက်,Mixtec,misteekki,Micsteg,IsiMixtec,Mixteco,Semixtec,Mixteco,mixteco,миштексӣ,mixteco,mixteco,Cimixtec,Mixtec,Mixtec,mixteco,Mixtec,મિસટેક(વાયાપાન),मिक्सटेक,Mixtec,Mixtec,Mixtec,Mixtec,Mixtec,Mixtec,Mixtekisk,ミステク語（フアフアパン）,Mixtec,mistek,Mixtèque,mixtéčtina,米斯特克語（瓦華潘）,Mixteco,Mixtec,Mixtec,Thok,Miksiteki,mixteco,มิกซ์เทก,Kimikstek,Mixtec,Mixtec,Mišteku,миштек,Mixtec,микстек,mixteco,Mixtec,Mixtec,Mixtec,миштек,misteke,Mikstek,mixteco,Mixtec,mixtéčtina,Mixtekiska,Mixtec,Mîhtekî,Mixtec,Mixtec,Mixtèque,Mixtec,Mikstek,mixteco,mixteco,mixteco,Mixtekisch,Mixtec,миштек,mixteco,ሚክስተክ,Mixtec
Gĩkwangali,Kwangali,Kwangali,Kwangali,Kwangali,kwangalí,kwangali,Kwangali,kvangali,Kwangali,Kwangali,Kwangali,Kwangali,куангалі,Kwangali,Kwangalí,kwangalí,kwn,kwangalí,क्वांगॉली,Kwangali,Kwangali,Kwangali,Oshikwangali,ਕਵਾਨਗਾਲੀ,Kwangali,კვანგალი,Kwangali,kwangalí,kvangali,Kwangali,kwangalí,Kwangali,Kwangali,Կվանգալի,Kwangali,kwangalí,Kĩkwangalĩ,Kwangali,ክዋንጋሊ,Kwangali,Kwangali,kwangalí,क्वान्गाली,Kwangali,квангали,Kwangali,Kwangali,쾅갈리어,kwangalí,Kwangali,Kwangali,Kwangalitongo,Kwangalí,Kwangali,квангали,Kwangali,Kwangali,rudim,kvangali,kwangalí,Κουανγκάλι,Kwangali,kvangali,Kwangali,ruKwangali,Kwangal,kvangalių,kwangalí,Kwangali,Kwangali,Sekwangali,Igikwangali,Kwangali,kwangalí,Kwangali,Kwangalí,Kwangalí,Kwangali,Kwangali,Kwangalí,Kwangali,kwangalí,kwangalí,Kwangalitongo,Kwangali,IsiKwangali,Kwangali,Kwangali,Kwangali,Kuwaangaalii,Kwangalitongo,kwangalí,куангали,Kwangali,Kwangali,куангали,kwangalí,Kwangali,Kwangali,Kwangali,SiKwangali,Kwangali,Kwangali,Cikwangali,Kwangali,क्वान्गाली,kvangališčina,Kwangali,குவாங்காலி,Kwangali,kvangali,Kwangali,kwangalí,kwangali,Kikwangali,Kwangali,kwangalí,Rukwangali,kwangali,Kwangali,Kwangali,Kwangali,kwangalí,ကွမ်ဂါလီ,Kwangali,kwangali,Cwangali,IsiKwangali,Kwangalí,Sekwangali,Kwangalí,kwangalí,квангали,kwangalí,kwangalí,Cikwangali,Kwangali,Kwangali,kwangalí,Kwangali,ક્વાનગાલી,क्वान्गली,Kwangali,Kwangali,Kwangali,Kwangali,Kwangali,Kwangali,Kwangali,クワンガリ語,Kwangali,kwangali,Kwangali,kwangali,克萬加里語,Kwangalí,Kwangali,Kwangali,Thok,Kiwangaali,kwangalí,ควังกาลี,Kikwangali,Kwangali,Kwangali,Kvangalu,квангали,Kwangali,квангали,kwangalí,Kwangali,Kwangali,Kwangali,квангали,kvangale,Kwa-nga-li,kwangalí,Kwangali,kwangali,Kwangali,Kwangali,Kwangalî,Kwangali,Kwangali,Kwangali,Kwangali,Kvangali,kwangalí,kwangalí,kwangalí,Kwangali,Kwangali,квангали,kwangalí,ክዋንጋሊ,Kwangali
